Date Time	Temperature (*F) c:1	Temperature (*C) c:1	High-Res Temp (*F) c:1 2	High-Res Temp (*C) c:1 2	Temperature (*F) c:3	Temperature (*C) c:3	High-Res Temp (*F) c:3 4	High-Res Temp (*C) c:3 4
09/30/21 12:00:00.0	35.66	2.03	35.51	1.95	35.66	2.03	35.56	1.98
09/30/21 13:00:00.0	35.66	2.03	35.71	2.06	36.43	2.46	36.09	2.27
09/30/21 14:00:00.0	35.66	2.03	35.32	1.84	35.66	2.03	35.61	2.01
09/30/21 15:00:00.0	34.88	1.6	34.83	1.57	34.88	1.6	35.03	1.68
09/30/21 16:00:00.0	34.1	1.17	34	1.11	34.88	1.6	34.69	1.49
09/30/21 17:00:00.0	34.1	1.17	33.8	1	34.1	1.17	34.34	1.3
09/30/21 18:00:00.0	33.31	0.73	33.36	0.75	34.1	1.17	34.39	1.33
09/30/21 19:00:00.0	34.88	1.6	34.54	1.41	35.66	2.03	35.95	2.19
09/30/21 20:00:00.0	33.31	0.73	33.01	0.56	34.1	1.17	33.9	1.06
09/30/21 21:00:00.0	33.31	0.73	33.06	0.59	34.1	1.17	34	1.11
09/30/21 22:00:00.0	32.52	0.29	32.56	0.31	34.1	1.17	34	1.11
09/30/21 23:00:00.0	30.1	-1.06	30.2	-1	30.1	-1.06	30.45	-0.86
10/01/21 00:00:00.0	30.91	-0.61	30.86	-0.64	30.91	-0.61	31.26	-0.41
10/01/21 01:00:00.0	30.1	-1.06	30.09	-1.06	30.1	-1.06	30.5	-0.83
10/01/21 02:00:00.0	29.28	-1.51	29.68	-1.29	30.1	-1.06	29.89	-1.17
10/01/21 03:00:00.0	29.28	-1.51	29.33	-1.49	30.1	-1.06	30.09	-1.06
10/01/21 04:00:00.0	28.45	-1.97	28.29	-2.06	28.45	-1.97	28.34	-2.03
10/01/21 05:00:00.0	28.45	-1.97	28.14	-2.15	28.45	-1.97	28.29	-2.06
10/01/21 06:00:00.0	26.77	-2.9	27.14	-2.7	27.62	-2.44	27.4	-2.55
10/01/21 07:00:00.0	27.62	-2.44	27.67	-2.41	28.45	-1.97	28.08	-2.18
10/01/21 08:00:00.0	30.1	-1.06	30.14	-1.03	30.1	-1.06	29.84	-1.2
10/01/21 09:00:00.0	31.72	-0.16	31.81	-0.1	31.72	-0.16	32.06	0.04
10/01/21 10:00:00.0	33.31	0.73	33.21	0.67	33.31	0.73	33.56	0.86
10/01/21 11:00:00.0	34.88	1.6	34.93	1.63	35.66	2.03	35.85	2.14
10/01/21 12:00:00.0	33.31	0.73	33.51	0.84	33.31	0.73	33.51	0.84
10/01/21 13:00:00.0	34.1	1.17	34.44	1.36	34.88	1.6	34.83	1.57
10/01/21 14:00:00.0	34.88	1.6	34.73	1.52	34.88	1.6	35.03	1.68
10/01/21 15:00:00.0	34.1	1.17	34.15	1.19	34.1	1.17	34	1.11
10/01/21 16:00:00.0	34.1	1.17	34.2	1.22	34.1	1.17	34.44	1.36
10/01/21 17:00:00.0	34.1	1.17	34.44	1.36	34.88	1.6	34.83	1.57
10/01/21 18:00:00.0	33.31	0.73	33.46	0.81	33.31	0.73	33.65	0.92
10/01/21 19:00:00.0	34.1	1.17	33.85	1.03	34.88	1.6	34.59	1.44
