Serial Number:    1007723     --     Series: Temperature (*F) c:1
Serial Number:    1007723     --     Series: Temperature (*C) c:1
Serial Number:    1007723     --     Series: High-Res Temp (*F) c:1 2
Serial Number:    1007723     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1007723     --     Series: Temperature (*F) c:3
Serial Number:    1007723     --     Series: Temperature (*C) c:3
Serial Number:    1007723     --     Series: High-Res Temp (*F) c:3 4
Serial Number:    1007723     --     Series: High-Res Temp (*C) c:3 4

Date Time	Temperature (*F) c:1	Temperature (*C) c:1	High-Res Temp (*F) c:1 2	High-Res Temp (*C) c:1 2	Temperature (*F) c:3	Temperature (*C) c:3	High-Res Temp (*F) c:3 4	High-Res Temp (*C) c:3 4
09/23/21 15:00:00.0	41.72	5.4	41.62	5.35	41.72	5.4	41.81	5.45
09/23/21 16:00:00.0	40.97	4.99	40.97	4.98	40.97	4.99	41.25	5.14
09/23/21 17:00:00.0	40.97	4.99	41.16	5.09	41.72	5.4	41.57	5.32
09/23/21 18:00:00.0	40.97	4.99	40.97	4.98	41.72	5.4	41.9	5.5
09/23/21 19:00:00.0	41.72	5.4	41.48	5.27	42.46	5.81	42.5	5.83
09/23/21 20:00:00.0	41.72	5.4	41.76	5.42	43.19	6.22	42.87	6.04
09/23/21 21:00:00.0	41.72	5.4	42.04	5.58	42.46	5.81	42.59	5.88
09/23/21 22:00:00.0	41.72	5.4	41.76	5.42	42.46	5.81	42.59	5.88
09/23/21 23:00:00.0	42.46	5.81	42.59	5.88	43.92	6.62	44.06	6.7
09/24/21 00:00:00.0	41.72	5.4	41.76	5.42	43.19	6.22	43.05	6.14
09/24/21 01:00:00.0	42.46	5.81	42.27	5.7	43.19	6.22	43.23	6.24
09/24/21 02:00:00.0	40.97	4.99	40.92	4.96	41.72	5.4	41.81	5.45
09/24/21 03:00:00.0	40.97	4.99	41.02	5.01	41.72	5.4	41.39	5.22
09/24/21 04:00:00.0	40.97	4.99	40.97	4.98	41.72	5.4	41.71	5.4
09/24/21 05:00:00.0	38.72	3.74	38.96	3.86	38.72	3.74	39.05	3.92
09/24/21 06:00:00.0	40.23	4.57	40.27	4.6	40.23	4.57	40.51	4.73
09/24/21 07:00:00.0	40.97	4.99	41.2	5.11	41.72	5.4	41.81	5.45
09/24/21 08:00:00.0	39.48	4.15	39.66	4.26	40.23	4.57	40.32	4.62
