Name,Station,Time(norwegian mean time),Precipitation (24 h),Snow depth,Maximum air temperature (24 h),Mean air temperature (24 h),Minimum air temperature (24 h)
Ny-ålesund,SN99910,01.02.2022,0,58,-7.6,-9.7,-15.6
Ny-ålesund,SN99910,02.02.2022,3.1,62,-7,-9.9,-14.6
Ny-ålesund,SN99910,03.02.2022,0,62,-7.3,-8.8,-12.2
Ny-ålesund,SN99910,04.02.2022,0,62,-4.3,-6,-12.9
Ny-ålesund,SN99910,05.02.2022,0,58,-5.5,-9.9,-12.6
Ny-ålesund,SN99910,06.02.2022,0,58,-6,-9.2,-13.5
Ny-ålesund,SN99910,07.02.2022,0,58,-5.5,-7.2,-9.9
Ny-ålesund,SN99910,08.02.2022,2.5,62,-6.6,-8.2,-9.8
Ny-ålesund,SN99910,09.02.2022,0.1,58,-9.6,-11.5,-14.6
Ny-ålesund,SN99910,10.02.2022,0.6,62,-5.2,-7.9,-16.2
Ny-ålesund,SN99910,11.02.2022,0,62,-4.7,-6.7,-8.3
Ny-ålesund,SN99910,12.02.2022,0,60,-7.1,-9,-11.6
Ny-ålesund,SN99910,13.02.2022,0,59,-7.5,-9.1,-12.1
Ny-ålesund,SN99910,14.02.2022,0,59,-6.4,-9.1,-11
Ny-ålesund,SN99910,15.02.2022,0.2,59,-5.1,-7.6,-10.4
Ny-ålesund,SN99910,16.02.2022,0,59,-6,-8.1,-11.2
Ny-ålesund,SN99910,17.02.2022,0,59,-5.9,-9.2,-12.5
Ny-ålesund,SN99910,18.02.2022,0,59,-11.3,-13,-14.2
Ny-ålesund,SN99910,19.02.2022,0,59,-12.4,-14.8,-17.8
Ny-ålesund,SN99910,20.02.2022,0,59,-14.5,-15.8,-17.9
Ny-ålesund,SN99910,21.02.2022,0,58,-14.6,-16,-19.3
Ny-ålesund,SN99910,22.02.2022,0,58,-14.5,-17,-18.7
Ny-ålesund,SN99910,23.02.2022,1.5,59,-18,-20,-20.8
Ny-ålesund,SN99910,24.02.2022,0.1,58,-20.3,-22.2,-24.4
Ny-ålesund,SN99910,25.02.2022,0.5,59,-18.9,-20.4,-23.3
Ny-ålesund,SN99910,26.02.2022,4,63,-13.1,-15,-20.6
Ny-ålesund,SN99910,27.02.2022,4.3,59,-13.2,-16.4,-19.3
Ny-ålesund,SN99910,28.02.2022,0.1,59,-14.5,-16,-19.9
Ny-ålesund,SN99910,01.03.2022,0.5,60,-14.2,-15.9,-18
Ny-ålesund,SN99910,02.03.2022,0,59,-12.2,-14.6,-20
Ny-ålesund,SN99910,03.03.2022,0.9,58,-12.6,-14.7,-16.6
Ny-ålesund,SN99910,04.03.2022,0,58,-12.7,-14.5,-18.2
Ny-ålesund,SN99910,05.03.2022,0,58,-4,-5.9,-13.1
Ny-ålesund,SN99910,06.03.2022,0.1,58,0.2,-2.1,-8.9
Ny-ålesund,SN99910,07.03.2022,1.3,58,-0.2,-1.9,-5.5
Ny-ålesund,SN99910,08.03.2022,0.4,61,-1.3,-2.6,-5.1
Ny-ålesund,SN99910,09.03.2022,0.5,61,-1.4,-2.1,-3.7
Ny-ålesund,SN99910,10.03.2022,3.4,66,-1.7,-4.4,-6.7
Ny-ålesund,SN99910,11.03.2022,1,60,-5.8,-11.4,-13.9
Ny-ålesund,SN99910,12.03.2022,0,60,-2,-6.3,-14.9
Ny-ålesund,SN99910,13.03.2022,1.5,62,4.4,2.6,-2.8
Ny-ålesund,SN99910,14.03.2022,5.5,60,4,1.1,-0.2
Ny-ålesund,SN99910,15.03.2022,4.5,59,5.5,3.2,-0.4
Ny-ålesund,SN99910,16.03.2022,42.6,54,5,3.1,0.6
Ny-ålesund,SN99910,17.03.2022,20.6,55,2.7,0.3,-1.7
Ny-ålesund,SN99910,18.03.2022,10.4,59,0.6,-5.7,-8.4
Ny-ålesund,SN99910,19.03.2022,0,59,0,-3.6,-6.7
Ny-ålesund,SN99910,20.03.2022,4.7,68,-4.8,-7.4,-9.7
Ny-ålesund,SN99910,21.03.2022,0.5,70,-1.7,-4.5,-9.5
Ny-ålesund,SN99910,22.03.2022,2,60,-5.5,-8.9,-10
Ny-ålesund,SN99910,23.03.2022,0,59,-9.3,-15.4,-17.1
Ny-ålesund,SN99910,24.03.2022,0,59,-15.8,-16.8,-19
Ny-ålesund,SN99910,25.03.2022,0,59,-15.7,-16.9,-18.9
Ny-ålesund,SN99910,26.03.2022,0,59,-14.5,-15.9,-17.8
Ny-ålesund,SN99910,27.03.2022,0,59,-10.4,-13.2,-16.5
Ny-ålesund,SN99910,28.03.2022,0,59,-8.6,-10.8,-14.3
Ny-ålesund,SN99910,29.03.2022,0,59,-8.5,-9.6,-12.9
Ny-ålesund,SN99910,30.03.2022,0,59,-7.2,-9.6,-11.4
Ny-ålesund,SN99910,31.03.2022,0,59,-9.2,-10.9,-13.8
Ny-ålesund,SN99910,01.04.2022,0,58,-10.5,-14.4,-16.6
Ny-ålesund,SN99910,02.04.2022,0,59,-12.5,-14.5,-16.7
Ny-ålesund,SN99910,03.04.2022,0,59,-12,-13.4,-16.3
Ny-ålesund,SN99910,04.04.2022,0,59,-8,-10.9,-14.9
Ny-ålesund,SN99910,05.04.2022,0,59,-7.5,-9.7,-12.7
Ny-ålesund,SN99910,06.04.2022,0,59,-7.9,-10.1,-13.4
Ny-ålesund,SN99910,07.04.2022,0,59,-7,-10.2,-13.1
Ny-ålesund,SN99910,08.04.2022,0,59,-7.5,-10.4,-14.7
Ny-ålesund,SN99910,09.04.2022,0,59,-3.3,-7.3,-13
